epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8475,2.46169,3.75858,4.24484,0.00333,1,0.33881,0.06086,2.64382,3.92733,4.15902,0,0,0
2,19.2889,3.23584,3.36741,4.21097,0.00333,1,0.25628,0.0526,2.6436,3.9276,4.15914,1.9604e-05,1.9604e-05,1.9604e-05
3,23.0795,3.3693,3.57936,4.22142,0.00333,1,0.3825,0.06345,2.64343,3.92742,4.15922,3.8416e-05,3.8416e-05,3.8416e-05
4,25.0506,3.18963,4.23778,4.25152,0.00333,1,0.17303,0.04353,2.64332,3.92722,4.15928,5.6436e-05,5.6436e-05,5.6436e-05
5,26.8139,3.39601,3.84927,4.21934,0.00333,1,0.3544,0.05638,2.64325,3.92705,4.15934,7.3664e-05,7.3664e-05,7.3664e-05
6,28.6388,3.19281,3.49594,4.19529,0.00333,1,0.3446,0.05761,2.6432,3.92715,4.15936,9.01e-05,9.01e-05,9.01e-05
7,30.6158,2.99388,3.60695,4.19319,0.00333,1,0.13779,0.04001,2.64319,3.92707,4.15935,0.000105744,0.000105744,0.000105744
8,32.3117,3.30964,3.5451,4.19532,0.00333,1,0.13682,0.03792,2.64325,3.92699,4.1593,0.000120596,0.000120596,0.000120596
9,34.0851,2.86128,3.33745,4.14168,0.00333,1,0.38225,0.06498,2.64337,3.92705,4.1592,0.000134656,0.000134656,0.000134656
10,36.123,3.07357,3.89625,4.22567,0.00333,1,0.13835,0.04381,2.64352,3.92712,4.1591,0.000147924,0.000147924,0.000147924
11,38.5848,3.37968,3.69017,4.18451,0.00333,1,0.13879,0.03997,2.64375,3.92744,4.15893,0.0001604,0.0001604,0.0001604
12,41.0117,3.2654,4.02313,4.15357,0.00333,1,0.13925,0.03915,2.64404,3.9274,4.15878,0.000172084,0.000172084,0.000172084
13,42.8247,3.06365,3.54685,4.08604,0.00333,1,0.1546,0.0537,2.6444,3.92724,4.15855,0.000182976,0.000182976,0.000182976
14,44.7394,2.87082,3.71804,4.13334,0.00333,1,0.18167,0.05175,2.6448,3.92734,4.15829,0.000193076,0.000193076,0.000193076
15,46.8329,3.02351,3.59611,4.15362,0.00333,1,0.1361,0.04505,2.64532,3.92699,4.15799,0.000202384,0.000202384,0.000202384
